Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Stripped Sales,,No errors,Number Conversion,Total
Hunt & Score,2600_b,Atari,Atari,,,,,,,,,,1/1/1980,,#VALUE!,,0,0,102.81
Pele's Championship Soccer,2600_b,Atari,Atari,,,,,,,,,,1/1/1980,,#VALUE!,,0,0,
Skiing,2600_b,Activision,Activision,,,,,,,,,,1/1/1980,,#VALUE!,,0,0,
Fishing Derby,2600_b,Activision,Activision,,,,,0.51m,0.48m,0.03m,,0.01m,1/1/1980,,0.51,,0.51,0.51,
Karate,2600_b,Unknown,Ultravision,,,,,0.47m,0.44m,0.03m,,0.00m,1/1/1980,,0.47,,0.47,0.47,
Dragster,2600_b,Activision,Activision,,,,,0.32m,0.30m,0.02m,,0.00m,1/1/1980,,0.32,,0.32,0.32,
Wizard and the Princess,All_b,Sierra Online,On-Line Systems,,,,0.03m,,,,,,1/1/1980,4/2/2021,#VALUE!,,0,0,
The Warp Factor,All_b,Strategic Simulations,Strategic Simulations,,,,0.01m,,,,,,1/1/1980,4/6/2021,#VALUE!,,0,0,
Challenge,2600_b,Unknown,Funvision,,,,,,,,,,1/1/1980,,#VALUE!,,0,0,
Computer Bismarck,All_b,Strategic Simulations,"Strategic Simulations, Inc.",,,,0.01m,,,,,,2/1/1980,3/24/2021,#VALUE!,,0,0,
Mystery House,PC_b,Sierra Entertainment,On-Line Systems,,,,0.08m,,,,,,5/5/1980,,#VALUE!,,0,0,
Boxing,2600_b,Activision,Activision,,,,,0.77m,0.72m,0.04m,,0.01m,6/17/1980,,0.77,,0.77,0.77,
Checkers,2600_b,Atari,Activision,,,,,0.24m,0.22m,0.01m,,0.00m,7/1/1980,,0.24,,0.24,0.24,
ABPA Backgammon,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,8/16/1980,1/13/2018,#VALUE!,,0,0,
Las Vegas Poker & Blackjack,Int_b,Mattel Electronics,APh Technological Consulting,,,,2.00m,,,,,,8/25/1980,1/13/2018,#VALUE!,,0,0,
Space Battle,Int_b,Mattel Electronics,APh Technological Consulting,,,,1.00m,,,,,,8/25/1980,1/13/2018,#VALUE!,,0,0,
NBA Basketball,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,8/25/1980,1/13/2018,#VALUE!,,0,0,
NFL Football,Int_b,Mattel Electronics,APh Technological Consulting,,,,1.00m,,,,,,8/27/1980,1/13/2018,#VALUE!,,0,0,
Major League Baseball,Int_b,Mattel Electronics,APh Technological Consulting,,,,1.00m,,,,,,9/4/1980,1/13/2018,#VALUE!,,0,0,
Armor Battle,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,9/4/1980,1/13/2018,#VALUE!,,0,0,
NASL Soccer,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,9/4/1980,1/13/2018,#VALUE!,,0,0,
Checkers,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,9/17/1980,1/13/2018,#VALUE!,,0,0,
Pac-Man,Arc_b,Midway,Unknown,,,,,,,,,,10/1/1980,,#VALUE!,,0,0,
Auto Racing,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,10/3/1980,1/13/2018,#VALUE!,,0,0,
Horse Racing,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,10/3/1980,1/13/2018,#VALUE!,,0,0,
Las Vegas Roulette,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,10/3/1980,1/13/2018,#VALUE!,,0,0,
NHL Hockey,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,10/3/1980,12/13/2017,#VALUE!,,0,0,
Sea Battle,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,10/3/1980,1/13/2018,#VALUE!,,0,0,
The Electric Company Math Fun,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,10/16/1980,1/13/2018,#VALUE!,,0,0,
PGA Golf,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,11/5/1980,1/13/2018,#VALUE!,,0,0,
The Electric Company Word Fun,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,11/5/1980,1/13/2018,#VALUE!,,0,0,
Zork,Series_b,Infocom,"Infocom, Inc.",,,,1.93m,,,,,,12/1/1980,12/28/2020,#VALUE!,,0,0,
Bridge,2600_b,Activision,Activision,,,,,0.27m,0.25m,0.02m,,0.00m,12/1/1980,,0.27,,0.27,0.27,
Tennis,Int_b,Mattel Electronics,Mattel,,,,,,,,,,12/10/1980,1/13/2018,#VALUE!,,0,0,
Asteroids,2600_b,Atari,Atari,,,,,4.31m,4.00m,0.26m,,0.05m,1/1/1981,,4.31,,4.31,4.31,
Missile Command,2600_b,Atari,Atari,,,,2.50m,,,,,,1/1/1981,,#VALUE!,,0,0,
Kaboom!,2600_b,Activision,Activision,,,,,1.15m,1.07m,0.07m,,0.01m,1/1/1981,,1.15,,1.15,1.15,
Defender,2600_b,Atari,Atari,,,,,1.05m,0.99m,0.05m,,0.01m,1/1/1981,,1.05,,1.05,1.05,
Haunted House,2600_b,Atari,Atari,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Lochjaw,2600_b,Apollo,Apollo,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Racquetball,2600_b,Apollo,Apollo,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Skeet Shoot,2600_b,Apollo,Apollo,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Space Cavern,2600_b,Apollo,Apollo,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Spacechase,2600_b,Apollo,Apollo,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Stampede,2600_b,Activision,Activision,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Steeplechase,2600_b,Sears,Sears,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Stellar Track,2600_b,Sears,Sears,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Strategy X,2600_b,Konami,Konami,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Tennis,2600_b,Activision,Activision,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
The Wizard's Castle,PC_b,Unknown,International PC Owners,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Video Pinball,2600_b,Atari,Atari,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Warlords,2600_b,Atari,Atari,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Wizard of Wor,5200_b,CBS Electronics,Bally/Midway,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Ice Hockey,2600_b,Activision,Activision,,,,,0.49m,0.46m,0.03m,,0.01m,1/1/1981,,0.49,,0.49,0.49,
Freeway,2600_b,Activision,Activision,,,,,0.34m,0.32m,0.02m,,0.00m,1/1/1981,,0.34,,0.34,0.34,
Zork II: The Wizard of Frobozz,PC_b,Infocom,Infocom,,,,0.18m,,,,,,1/1/1981,,#VALUE!,,0,0,
Ultima I: The First Age of Darkness,PC_b,California Pacific,"Origin Systems, Inc.",,,,0.05m,,,,,,1/1/1981,,#VALUE!,,0,0,
Computer Baseball,All_b,Strategic Simulations,Strategic Simulations,,,,0.05m,,,,,,1/1/1981,3/24/2021,#VALUE!,,0,0,
Raster Blaster,All_b,BudgeCo,Bill Budge,,,,0.03m,,,,,,1/1/1981,4/6/2021,#VALUE!,,0,0,
Threshold,All_b,Sierra Entertainment,On-Line Systems,,,,0.03m,,,,,,1/1/1981,4/5/2022,#VALUE!,,0,0,
Apple Panic,All_b,Broderbund,Ben Serki,,,,0.02m,,,,,,1/1/1981,4/6/2021,#VALUE!,,0,0,
Pool 1.5,All_b,Innovative Design Software,Innovative Design Software,,,,0.02m,,,,,,1/1/1981,4/6/2021,#VALUE!,,0,0,
Adventure,PC_b,Microsoft,"Atari, Inc.",,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
B-1 Nuclear Bomber,PC_b,Unknown,Microcomputer Games,,,,,,,,,,1/1/1981,,#VALUE!,,0,0,
Donkey (DONKEY.BAS),PC_b,IBM,Bill Gates,,,,,,,,,,1/1/1981,10/10/2018,#VALUE!,,0,0,
Laser Blast,2600_b,Activision,Activision,,,,,0.39m,0.37m,0.02m,,0.00m,3/1/1981,,0.39,,0.39,0.39,
Sneakers,ApII_b,Sirius Software,Sirius Software,,,,0.01m,,,,,,7/1/1981,4/5/2022,#VALUE!,,0,0,
Donkey Kong,CV_b,Coleco,Nintendo,,,,,,,,,,7/9/1981,9/18/2020,#VALUE!,,0,0,
Donkey Kong,Series_b,Nintendo,Nintendo,,,,65.00m,,,,,,7/31/1981,2/21/2020,#VALUE!,,0,0,
PBA Bowling,Int_b,Mattel Electronics,Mattel,,,,,,,,,,7/31/1981,1/13/2018,#VALUE!,,0,0,
Wolfenstein,Series_b,Bethesda Softworks,Muse Software,,,,5.27m,,,,,,9/1/1981,4/8/2021,#VALUE!,,0,0,
Wizardry,Series_b,Sirtech,Sir-Tech,,,,4.60m,,,,,,9/1/1981,4/6/2021,#VALUE!,,0,0,
Wizardry: Proving Grounds of the Mad Overlord,All_b,Sirtech,Sir-Tech,,,,0.20m,,,,,,9/1/1981,4/6/2021,#VALUE!,,0,0,
Castle Wolfenstein,All_b,Muse Software,Muse Software,,,,0.05m,,,,,,9/1/1981,4/6/2021,#VALUE!,,0,0,
Astrosmash,Int_b,Mattel Electronics,Mattel,,,,2.00m,,,,,,10/15/1981,1/13/2018,#VALUE!,,0,0,
Space Armada,Int_b,Mattel Electronics,Mattel,,,,1.00m,,,,,,10/15/1981,1/13/2018,#VALUE!,,0,0,
Snafu,Int_b,Mattel Electronics,Mattel,,,,,,,,,,10/15/1981,1/13/2018,#VALUE!,,0,0,
